,0
0,0.082
1,0.08
2,0.082
3,0.082
4,0.082
5,0.082
6,0.082
7,0.082
8,0.082
9,0.082
10,0.082
11,0.082
12,0.082
13,0.082
14,0.082
15,0.082
16,0.082
17,0.082
18,0.082
19,0.082
20,0.082
21,0.082
22,0.082
23,0.082
24,0.082
25,0.082
26,0.082
27,0.082
28,0.082
29,0.082
30,0.082
31,0.082
32,0.082
33,0.082
34,0.082
35,0.082
36,0.082
37,0.082
38,0.082
39,0.082
40,0.082
41,0.082
42,0.082
43,0.082
44,0.082
45,0.082
46,0.082
47,0.082
48,0.082
49,0.082
50,0.082
51,0.082
52,0.082
53,0.082
54,0.082
55,0.082
56,0.082
57,0.082
58,0.082
59,0.082
60,0.082
61,0.082
62,0.082
63,0.082
64,0.082
65,0.082
66,0.082
67,0.082
68,0.082
69,0.082
70,0.082
71,0.082
72,0.082
73,0.082
74,0.082
75,0.082
76,0.082
77,0.082
78,0.082
79,0.082
80,0.082
81,0.082
82,0.082
83,0.082
84,0.082
85,0.082
86,0.082
87,0.082
88,0.082
89,0.082
90,0.082
91,0.082
92,0.082
93,0.082
94,0.082
95,0.082
96,0.082
97,0.082
98,0.082
99,0.082
100,0.082
101,0.082
102,0.082
103,0.082
104,0.082
105,0.082
106,0.082
107,0.082
108,0.082
109,0.082
110,0.082
111,0.082
112,0.082
113,0.082
114,0.082
115,0.082
116,0.082
117,0.082
118,0.082
119,0.082
120,0.082
121,0.082
122,0.082
123,0.082
124,0.082
125,0.082
126,0.082
127,0.082
128,0.082
129,0.082
130,0.082
131,0.082
132,0.082
133,0.082
134,0.082
135,0.082
136,0.082
137,0.082
138,0.082
139,0.082
140,0.082
141,0.082
142,0.082
143,0.082
144,0.082
145,0.082
146,0.082
147,0.082
148,0.082
149,0.082
150,0.082
151,0.082
152,0.082
153,0.082
154,0.082
155,0.082
156,0.082
157,0.082
158,0.082
159,0.082
160,0.082
161,0.082
162,0.082
163,0.082
164,0.082
165,0.082
166,0.082
167,0.082
168,0.082
169,0.082
170,0.082
171,0.082
172,0.082
173,0.082
174,0.082
175,0.082
176,0.082
177,0.082
178,0.082
179,0.082
180,0.082
181,0.082
182,0.082
183,0.082
184,0.082
185,0.082
186,0.082
187,0.082
188,0.082
189,0.082
190,0.082
191,0.082
192,0.082
193,0.082
194,0.082
195,0.082
196,0.082
197,0.082
198,0.082
199,0.082
200,0.082
201,0.082
202,0.082
203,0.082
204,0.082
205,0.082
206,0.082
207,0.082
208,0.082
209,0.082
210,0.082
211,0.082
212,0.082
213,0.082
214,0.082
215,0.082
216,0.082
217,0.082
218,0.082
219,0.082
220,0.082
221,0.082
222,0.082
223,0.082
224,0.082
225,0.082
226,0.082
227,0.082
228,0.082
229,0.082
230,0.082
231,0.082
232,0.082
233,0.082
234,0.082
235,0.082
236,0.082
237,0.082
238,0.082
239,0.082
240,0.082
241,0.082
242,0.082
243,0.082
244,0.082
245,0.082
246,0.082
247,0.082
248,0.082
249,0.082
250,0.082
251,0.082
252,0.082
253,0.082
254,0.082
255,0.082
256,0.082
257,0.082
258,0.082
259,0.082
260,0.082
261,0.082
262,0.082
263,0.082
264,0.082
265,0.082
266,0.082
267,0.082
268,0.082
269,0.082
270,0.082
271,0.082
272,0.082
273,0.082
274,0.082
275,0.082
276,0.082
277,0.082
278,0.082
279,0.082
280,0.082
281,0.082
282,0.082
283,0.082
284,0.082
285,0.082
286,0.082
287,0.082
288,0.082
289,0.082
290,0.082
291,0.082
292,0.082
293,0.082
294,0.082
295,0.082
296,0.082
297,0.082
298,0.082
299,0.082
300,0.082
301,0.082
302,0.082
303,0.082
304,0.082
305,0.082
306,0.082
307,0.082
308,0.082
309,0.082
310,0.082
311,0.082
312,0.082
313,0.082
314,0.082
315,0.082
316,0.082
317,0.082
318,0.082
319,0.082
320,0.082
321,0.082
322,0.082
323,0.082
324,0.082
325,0.082
326,0.082
327,0.082
328,0.082
329,0.082
330,0.082
331,0.082
332,0.082
333,0.082
334,0.082
335,0.082
336,0.082
337,0.082
338,0.082
339,0.082
340,0.082
341,0.084
342,0.084
343,0.084
344,0.084
345,0.084
346,0.084
347,0.084
348,0.084
349,0.084
350,0.084
351,0.084
352,0.084
353,0.084
354,0.084
355,0.084
356,0.084
357,0.084
358,0.084
359,0.084
360,0.084
361,0.084
362,0.084
363,0.086
364,0.086
365,0.086
366,0.086
367,0.086
368,0.086
369,0.086
370,0.086
371,0.086
