,rank,rank_mass,auc,model
0,0.8,0.89917475,0.78,iter_65
1,0.6,0.8202444,0.6399999999999999,iter_65
2,0.8,0.939756,0.78,iter_65
3,0.7,0.7660357,0.58,iter_65
4,0.8,0.9079023,0.76,iter_65
5,0.8,0.87328255,0.8,iter_65
6,0.7,0.8337694,0.6000000000000001,iter_65
7,0.8,0.9122716,0.8200000000000001,iter_65
8,0.9,0.9621549,0.94,iter_65
9,0.8,0.9168578,0.7999999999999999,iter_65
10,0.8,0.9479285,0.76,iter_65
11,0.9,0.91792125,0.8400000000000001,iter_65
12,0.7,0.9379177,0.72,iter_65
13,0.8,0.9327823,0.84,iter_65
14,0.8,0.91509736,0.8200000000000001,iter_65
15,0.8,0.9365384,0.8,iter_65
16,0.8,0.969819,0.92,iter_65
17,0.9,0.9730751,0.94,iter_65
18,0.9,0.95634973,0.94,iter_65
19,1.0,0.98875743,1.0,iter_65
20,0.8,0.9571348,0.88,iter_65
21,1.0,0.9688176,1.0,iter_65
22,1.0,0.94436884,1.0,iter_65
23,0.7,0.8499497,0.6799999999999999,iter_65
24,0.9,0.9537312,0.96,iter_65
25,0.9,0.9221548,0.8600000000000001,iter_65
26,0.9,0.94433004,0.94,iter_65
27,0.8,0.98737794,0.8400000000000001,iter_65
28,0.6,0.80598336,0.56,iter_65
29,0.9,0.96328646,0.96,iter_65
30,0.9,0.98616886,0.8600000000000001,iter_65
31,0.7,0.91613144,0.8,iter_65
32,0.8,0.8991667,0.7600000000000001,iter_65
33,0.9,0.8930108,0.94,iter_65
34,0.8,0.9009977,0.8200000000000001,iter_65
35,0.9,0.9692466,0.96,iter_65
36,0.9,0.9634546,0.94,iter_65
37,0.8,0.93370676,0.82,iter_65
38,0.9,0.93510747,0.8400000000000001,iter_65
39,1.0,0.9811724,1.0,iter_65
40,0.7,0.885375,0.66,iter_65
41,0.8,0.87978905,0.78,iter_65
42,0.9,0.9657528,0.98,iter_65
43,1.0,0.9686632,1.0,iter_65
44,0.8,0.8797653,0.74,iter_65
45,0.8,0.95710236,0.86,iter_65
46,0.7,0.8137157,0.6,iter_65
47,0.7,0.796423,0.6799999999999999,iter_65
48,0.7,0.93304986,0.72,iter_65
49,0.9,0.97882646,0.92,iter_65
